symptom_text,severity,disease,total_weight
stomach_pain acidity ulcers_on_tongue vomiting cough,MEDIUM,GERD,21
acidity ulcers_on_tongue vomiting cough chest_pain,MEDIUM,GERD,23
stomach_pain ulcers_on_tongue vomiting cough chest_pain,HIGH,GERD,25
stomach_pain acidity vomiting cough chest_pain,MEDIUM,GERD,24
stomach_pain acidity ulcers_on_tongue cough chest_pain,MEDIUM,GERD,23
itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Chronic cholestasis,26
vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Chronic cholestasis,25
itching yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes,MEDIUM,Chronic cholestasis,21
itching vomiting nausea loss_of_appetite abdominal_pain yellowing_of_eyes,MEDIUM,Chronic cholestasis,23
itching vomiting yellowish_skin loss_of_appetite abdominal_pain yellowing_of_eyes,MEDIUM,Chronic cholestasis,21
itching vomiting yellowish_skin nausea abdominal_pain yellowing_of_eyes,MEDIUM,Chronic cholestasis,22
itching vomiting yellowish_skin nausea loss_of_appetite yellowing_of_eyes,MEDIUM,Chronic cholestasis,22
itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain,MEDIUM,Chronic cholestasis,22
itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Chronic cholestasis,26
itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Chronic cholestasis,26
itching skin_rash stomach_pain burning_micturition spotting_ urination,MEDIUM,Drug Reaction,15
itching stomach_pain burning_micturition spotting_ urination,LOW,Drug Reaction,12
itching skin_rash burning_micturition spotting_ urination,LOW,Drug Reaction,10
itching skin_rash stomach_pain spotting_ urination,LOW,Drug Reaction,9
itching skin_rash stomach_pain burning_micturition,MEDIUM,Drug Reaction,15
skin_rash stomach_pain burning_micturition spotting_ urination,MEDIUM,Drug Reaction,14
itching stomach_pain burning_micturition spotting_ urination,LOW,Drug Reaction,12
itching skin_rash burning_micturition spotting_ urination,LOW,Drug Reaction,10
itching skin_rash stomach_pain spotting_ urination,LOW,Drug Reaction,9
itching skin_rash stomach_pain burning_micturition,MEDIUM,Drug Reaction,15
vomiting loss_of_appetite abdominal_pain passage_of_gases internal_itching,MEDIUM,Peptic ulcer diseae,22
vomiting indigestion abdominal_pain passage_of_gases internal_itching,MEDIUM,Peptic ulcer diseae,23
indigestion loss_of_appetite abdominal_pain passage_of_gases internal_itching,MEDIUM,Peptic ulcer diseae,22
vomiting loss_of_appetite abdominal_pain passage_of_gases internal_itching,MEDIUM,Peptic ulcer diseae,22
vomiting indigestion abdominal_pain passage_of_gases internal_itching,MEDIUM,Peptic ulcer diseae,23
vomiting indigestion loss_of_appetite passage_of_gases internal_itching,MEDIUM,Peptic ulcer diseae,23
vomiting indigestion loss_of_appetite abdominal_pain internal_itching,MEDIUM,Peptic ulcer diseae,22
vomiting indigestion loss_of_appetite abdominal_pain passage_of_gases,MEDIUM,Peptic ulcer diseae,23
vomiting indigestion loss_of_appetite abdominal_pain passage_of_gases internal_itching,HIGH,Peptic ulcer diseae,27
vomiting indigestion loss_of_appetite abdominal_pain passage_of_gases internal_itching,HIGH,Peptic ulcer diseae,27
muscle_wasting patches_in_throat high_fever extra_marital_contacts,MEDIUM,AIDS,21
patches_in_throat high_fever extra_marital_contacts,MEDIUM,AIDS,18
muscle_wasting high_fever extra_marital_contacts,MEDIUM,AIDS,15
muscle_wasting patches_in_throat extra_marital_contacts,MEDIUM,AIDS,14
muscle_wasting patches_in_throat high_fever,MEDIUM,AIDS,16
muscle_wasting patches_in_throat high_fever extra_marital_contacts,MEDIUM,AIDS,21
muscle_wasting patches_in_throat high_fever extra_marital_contacts,MEDIUM,AIDS,21
patches_in_throat high_fever extra_marital_contacts,MEDIUM,AIDS,18
muscle_wasting high_fever extra_marital_contacts,MEDIUM,AIDS,15
muscle_wasting patches_in_throat high_fever,MEDIUM,AIDS,16
fatigue weight_loss restlessness lethargy irregular_sugar_level blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria,CRITICAL,Diabetes,41
fatigue weight_loss restlessness lethargy irregular_sugar_level blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria,CRITICAL,Diabetes,41
weight_loss restlessness lethargy irregular_sugar_level blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria,HIGH,Diabetes,37
fatigue restlessness lethargy irregular_sugar_level blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria,HIGH,Diabetes,38
fatigue weight_loss lethargy irregular_sugar_level blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria,HIGH,Diabetes,36
fatigue weight_loss restlessness irregular_sugar_level blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria,HIGH,Diabetes,39
fatigue weight_loss restlessness lethargy blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria,HIGH,Diabetes,36
fatigue weight_loss restlessness lethargy irregular_sugar_level obesity excessive_hunger increased_appetite polyuria,HIGH,Diabetes,36
fatigue weight_loss restlessness lethargy irregular_sugar_level blurred_and_distorted_vision excessive_hunger increased_appetite polyuria,HIGH,Diabetes,37
fatigue weight_loss restlessness lethargy irregular_sugar_level blurred_and_distorted_vision obesity increased_appetite polyuria,HIGH,Diabetes,37
vomiting sunken_eyes dehydration diarrhoea,MEDIUM,Gastroenteritis,18
vomiting sunken_eyes dehydration diarrhoea,MEDIUM,Gastroenteritis,18
sunken_eyes dehydration diarrhoea,MEDIUM,Gastroenteritis,13
vomiting dehydration diarrhoea,MEDIUM,Gastroenteritis,15
vomiting sunken_eyes diarrhoea,MEDIUM,Gastroenteritis,14
vomiting sunken_eyes dehydration,LOW,Gastroenteritis,12
vomiting sunken_eyes dehydration diarrhoea,MEDIUM,Gastroenteritis,18
sunken_eyes dehydration diarrhoea,MEDIUM,Gastroenteritis,13
vomiting dehydration diarrhoea,MEDIUM,Gastroenteritis,15
vomiting sunken_eyes diarrhoea,MEDIUM,Gastroenteritis,14
fatigue cough high_fever breathlessness family_history mucoid_sputum,HIGH,Bronchial Asthma,28
cough high_fever breathlessness family_history mucoid_sputum,MEDIUM,Bronchial Asthma,24
fatigue high_fever breathlessness family_history mucoid_sputum,MEDIUM,Bronchial Asthma,24
fatigue cough breathlessness family_history mucoid_sputum,MEDIUM,Bronchial Asthma,21
fatigue cough high_fever family_history mucoid_sputum,MEDIUM,Bronchial Asthma,24
fatigue cough high_fever breathlessness mucoid_sputum,MEDIUM,Bronchial Asthma,23
fatigue cough high_fever breathlessness family_history,MEDIUM,Bronchial Asthma,24
fatigue cough high_fever breathlessness family_history mucoid_sputum,HIGH,Bronchial Asthma,28
cough high_fever breathlessness family_history mucoid_sputum,MEDIUM,Bronchial Asthma,24
fatigue high_fever breathlessness family_history mucoid_sputum,MEDIUM,Bronchial Asthma,24
headache chest_pain dizziness loss_of_balance lack_of_concentration,MEDIUM,Hypertension,21
chest_pain dizziness loss_of_balance lack_of_concentration,MEDIUM,Hypertension,18
headache dizziness loss_of_balance lack_of_concentration,MEDIUM,Hypertension,14
headache chest_pain loss_of_balance lack_of_concentration,MEDIUM,Hypertension,17
headache chest_pain dizziness lack_of_concentration,MEDIUM,Hypertension,17
headache chest_pain dizziness loss_of_balance,MEDIUM,Hypertension,18
headache chest_pain dizziness loss_of_balance lack_of_concentration,MEDIUM,Hypertension,21
chest_pain dizziness loss_of_balance lack_of_concentration,MEDIUM,Hypertension,18
headache dizziness loss_of_balance lack_of_concentration,MEDIUM,Hypertension,14
headache chest_pain loss_of_balance lack_of_concentration,MEDIUM,Hypertension,17
acidity indigestion headache blurred_and_distorted_vision excessive_hunger stiff_neck depression irritability visual_disturbances,HIGH,Migraine,32
indigestion headache blurred_and_distorted_vision excessive_hunger stiff_neck depression irritability visual_disturbances,HIGH,Migraine,29
acidity headache blurred_and_distorted_vision excessive_hunger stiff_neck depression irritability visual_disturbances,HIGH,Migraine,27
acidity indigestion blurred_and_distorted_vision excessive_hunger stiff_neck depression irritability visual_disturbances,HIGH,Migraine,29
acidity indigestion headache excessive_hunger stiff_neck depression irritability visual_disturbances,HIGH,Migraine,27
acidity indigestion headache blurred_and_distorted_vision stiff_neck depression irritability visual_disturbances,HIGH,Migraine,28
acidity indigestion headache blurred_and_distorted_vision excessive_hunger depression irritability visual_disturbances,HIGH,Migraine,28
acidity indigestion headache blurred_and_distorted_vision excessive_hunger stiff_neck irritability visual_disturbances,HIGH,Migraine,29
acidity indigestion headache blurred_and_distorted_vision excessive_hunger stiff_neck depression visual_disturbances,HIGH,Migraine,30
acidity indigestion headache blurred_and_distorted_vision excessive_hunger stiff_neck depression irritability,HIGH,Migraine,29
back_pain weakness_in_limbs neck_pain dizziness loss_of_balance,MEDIUM,Cervical spondylosis,23
back_pain weakness_in_limbs neck_pain dizziness loss_of_balance,MEDIUM,Cervical spondylosis,23
weakness_in_limbs neck_pain dizziness loss_of_balance,MEDIUM,Cervical spondylosis,20
back_pain neck_pain dizziness loss_of_balance,MEDIUM,Cervical spondylosis,16
back_pain weakness_in_limbs dizziness loss_of_balance,MEDIUM,Cervical spondylosis,18
back_pain weakness_in_limbs neck_pain loss_of_balance,MEDIUM,Cervical spondylosis,19
back_pain weakness_in_limbs neck_pain dizziness,MEDIUM,Cervical spondylosis,19
back_pain weakness_in_limbs neck_pain dizziness loss_of_balance,MEDIUM,Cervical spondylosis,23
weakness_in_limbs neck_pain dizziness loss_of_balance,MEDIUM,Cervical spondylosis,20
back_pain neck_pain dizziness loss_of_balance,MEDIUM,Cervical spondylosis,16
vomiting headache weakness_of_one_body_side altered_sensorium,MEDIUM,Paralysis (brain hemorrhage),14
vomiting headache weakness_of_one_body_side altered_sensorium,MEDIUM,Paralysis (brain hemorrhage),14
headache weakness_of_one_body_side altered_sensorium,LOW,Paralysis (brain hemorrhage),9
vomiting weakness_of_one_body_side altered_sensorium,LOW,Paralysis (brain hemorrhage),11
vomiting headache altered_sensorium,LOW,Paralysis (brain hemorrhage),10
vomiting headache weakness_of_one_body_side,LOW,Paralysis (brain hemorrhage),12
vomiting headache weakness_of_one_body_side altered_sensorium,MEDIUM,Paralysis (brain hemorrhage),14
headache weakness_of_one_body_side altered_sensorium,LOW,Paralysis (brain hemorrhage),9
vomiting weakness_of_one_body_side altered_sensorium,LOW,Paralysis (brain hemorrhage),11
vomiting headache altered_sensorium,LOW,Paralysis (brain hemorrhage),10
itching vomiting fatigue weight_loss high_fever yellowish_skin dark_urine abdominal_pain,HIGH,Jaundice,31
itching vomiting fatigue weight_loss high_fever yellowish_skin dark_urine abdominal_pain,HIGH,Jaundice,31
vomiting fatigue weight_loss high_fever yellowish_skin dark_urine abdominal_pain,HIGH,Jaundice,30
itching fatigue weight_loss high_fever yellowish_skin dark_urine abdominal_pain,HIGH,Jaundice,26
itching vomiting weight_loss high_fever yellowish_skin dark_urine abdominal_pain,HIGH,Jaundice,27
itching vomiting fatigue high_fever yellowish_skin dark_urine abdominal_pain,HIGH,Jaundice,28
itching vomiting fatigue weight_loss yellowish_skin dark_urine abdominal_pain,MEDIUM,Jaundice,24
itching vomiting fatigue weight_loss high_fever dark_urine abdominal_pain,HIGH,Jaundice,28
itching vomiting fatigue weight_loss high_fever yellowish_skin abdominal_pain,HIGH,Jaundice,27
itching vomiting fatigue weight_loss high_fever yellowish_skin dark_urine,HIGH,Jaundice,27
chills vomiting high_fever sweating headache nausea muscle_pain,HIGH,Malaria,28
chills vomiting high_fever sweating headache nausea diarrhoea muscle_pain,HIGH,Malaria,34
chills vomiting high_fever sweating headache nausea diarrhoea muscle_pain,HIGH,Malaria,34
vomiting high_fever sweating headache nausea diarrhoea muscle_pain,HIGH,Malaria,31
chills high_fever sweating headache nausea diarrhoea muscle_pain,HIGH,Malaria,29
chills vomiting sweating headache nausea diarrhoea muscle_pain,HIGH,Malaria,27
chills vomiting high_fever headache nausea diarrhoea muscle_pain,HIGH,Malaria,31
chills vomiting high_fever sweating nausea diarrhoea muscle_pain,HIGH,Malaria,31
chills vomiting high_fever sweating headache diarrhoea muscle_pain,HIGH,Malaria,29
chills vomiting high_fever sweating headache nausea muscle_pain,HIGH,Malaria,28
itching skin_rash fatigue lethargy high_fever headache loss_of_appetite mild_fever swelled_lymph_nodes malaise red_spots_over_body,CRITICAL,Chicken pox,44
skin_rash fatigue lethargy high_fever headache loss_of_appetite mild_fever swelled_lymph_nodes malaise red_spots_over_body,CRITICAL,Chicken pox,43
itching fatigue lethargy high_fever headache loss_of_appetite mild_fever swelled_lymph_nodes malaise red_spots_over_body,CRITICAL,Chicken pox,41
itching skin_rash lethargy high_fever headache loss_of_appetite mild_fever swelled_lymph_nodes malaise red_spots_over_body,CRITICAL,Chicken pox,40
itching skin_rash fatigue high_fever headache loss_of_appetite mild_fever swelled_lymph_nodes malaise red_spots_over_body,CRITICAL,Chicken pox,42
itching skin_rash fatigue lethargy headache loss_of_appetite mild_fever swelled_lymph_nodes malaise red_spots_over_body,HIGH,Chicken pox,37
itching skin_rash fatigue lethargy high_fever loss_of_appetite mild_fever swelled_lymph_nodes malaise red_spots_over_body,CRITICAL,Chicken pox,41
itching skin_rash fatigue lethargy high_fever headache mild_fever swelled_lymph_nodes malaise red_spots_over_body,CRITICAL,Chicken pox,40
itching skin_rash fatigue lethargy high_fever headache loss_of_appetite swelled_lymph_nodes malaise red_spots_over_body,HIGH,Chicken pox,39
itching skin_rash fatigue lethargy high_fever headache loss_of_appetite mild_fever malaise red_spots_over_body,HIGH,Chicken pox,38
skin_rash chills joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain muscle_pain red_spots_over_body,CRITICAL,Dengue,49
skin_rash chills joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise red_spots_over_body,CRITICAL,Dengue,53
skin_rash chills joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain,CRITICAL,Dengue,52
skin_rash chills joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body,CRITICAL,Dengue,55
chills joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body,CRITICAL,Dengue,52
skin_rash joint_pain vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body,CRITICAL,Dengue,52
skin_rash chills vomiting fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body,CRITICAL,Dengue,52
skin_rash chills joint_pain fatigue high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body,CRITICAL,Dengue,50
skin_rash chills joint_pain vomiting high_fever headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body,CRITICAL,Dengue,51
skin_rash chills joint_pain vomiting fatigue headache nausea loss_of_appetite pain_behind_the_eyes back_pain malaise muscle_pain red_spots_over_body,CRITICAL,Dengue,48
chills vomiting fatigue high_fever nausea constipation abdominal_pain diarrhoea toxic_look_(typhos) belly_pain,CRITICAL,Typhoid,47
chills vomiting fatigue high_fever headache constipation abdominal_pain diarrhoea toxic_look_(typhos) belly_pain,CRITICAL,Typhoid,45
chills vomiting fatigue high_fever headache nausea abdominal_pain diarrhoea toxic_look_(typhos) belly_pain,CRITICAL,Typhoid,46
chills vomiting fatigue high_fever headache nausea constipation diarrhoea toxic_look_(typhos) belly_pain,CRITICAL,Typhoid,46
chills vomiting fatigue high_fever headache nausea constipation abdominal_pain toxic_look_(typhos) belly_pain,CRITICAL,Typhoid,44
chills vomiting fatigue high_fever headache nausea constipation abdominal_pain diarrhoea belly_pain,CRITICAL,Typhoid,45
chills vomiting fatigue high_fever headache nausea constipation abdominal_pain diarrhoea toxic_look_(typhos),CRITICAL,Typhoid,46
chills vomiting fatigue high_fever headache nausea constipation abdominal_pain diarrhoea toxic_look_(typhos) belly_pain,CRITICAL,Typhoid,50
chills vomiting fatigue high_fever headache nausea constipation abdominal_pain diarrhoea toxic_look_(typhos) belly_pain,CRITICAL,Typhoid,50
chills fatigue high_fever headache nausea constipation abdominal_pain diarrhoea toxic_look_(typhos) belly_pain,CRITICAL,Typhoid,45
joint_pain vomiting yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain,CRITICAL,hepatitis A,45
joint_pain vomiting yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain,CRITICAL,hepatitis A,45
vomiting yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain,CRITICAL,hepatitis A,42
joint_pain yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain,CRITICAL,hepatitis A,40
joint_pain vomiting dark_urine nausea loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain,CRITICAL,hepatitis A,42
joint_pain vomiting yellowish_skin nausea loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain,CRITICAL,hepatitis A,41
joint_pain vomiting yellowish_skin dark_urine loss_of_appetite abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain,CRITICAL,hepatitis A,40
joint_pain vomiting yellowish_skin dark_urine nausea abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain,CRITICAL,hepatitis A,41
joint_pain vomiting yellowish_skin dark_urine nausea loss_of_appetite diarrhoea mild_fever yellowing_of_eyes muscle_pain,CRITICAL,hepatitis A,41
joint_pain vomiting yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain mild_fever yellowing_of_eyes muscle_pain,HIGH,hepatitis A,39
itching fatigue lethargy yellowish_skin dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections,CRITICAL,Hepatitis B,43
itching fatigue lethargy yellowish_skin dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections,CRITICAL,Hepatitis B,43
fatigue lethargy yellowish_skin dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections,CRITICAL,Hepatitis B,42
itching lethargy yellowish_skin dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections,HIGH,Hepatitis B,39
itching fatigue yellowish_skin dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections,CRITICAL,Hepatitis B,41
itching fatigue lethargy dark_urine loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections,CRITICAL,Hepatitis B,40
itching fatigue lethargy yellowish_skin loss_of_appetite abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections,HIGH,Hepatitis B,39
itching fatigue lethargy yellowish_skin dark_urine abdominal_pain yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections,HIGH,Hepatitis B,39
itching fatigue lethargy yellowish_skin dark_urine loss_of_appetite yellow_urine yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections,HIGH,Hepatitis B,39
itching fatigue lethargy yellowish_skin dark_urine loss_of_appetite abdominal_pain yellowing_of_eyes malaise receiving_blood_transfusion receiving_unsterile_injections,HIGH,Hepatitis B,39
fatigue yellowish_skin nausea loss_of_appetite family_history,MEDIUM,Hepatitis C,21
fatigue yellowish_skin nausea loss_of_appetite yellowing_of_eyes family_history,HIGH,Hepatitis C,25
yellowish_skin nausea loss_of_appetite yellowing_of_eyes family_history,MEDIUM,Hepatitis C,21
fatigue nausea loss_of_appetite yellowing_of_eyes family_history,MEDIUM,Hepatitis C,22
fatigue yellowish_skin loss_of_appetite yellowing_of_eyes family_history,MEDIUM,Hepatitis C,20
fatigue yellowish_skin nausea yellowing_of_eyes family_history,MEDIUM,Hepatitis C,21
fatigue yellowish_skin nausea loss_of_appetite family_history,MEDIUM,Hepatitis C,21
fatigue yellowish_skin nausea loss_of_appetite yellowing_of_eyes,MEDIUM,Hepatitis C,20
fatigue yellowish_skin nausea loss_of_appetite yellowing_of_eyes family_history,HIGH,Hepatitis C,25
fatigue yellowish_skin nausea loss_of_appetite yellowing_of_eyes family_history,HIGH,Hepatitis C,25
joint_pain vomiting fatigue yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Hepatitis D,36
vomiting fatigue yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Hepatitis D,33
joint_pain fatigue yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Hepatitis D,31
joint_pain vomiting yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Hepatitis D,32
joint_pain vomiting fatigue dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Hepatitis D,33
joint_pain vomiting fatigue yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Hepatitis D,32
joint_pain vomiting fatigue yellowish_skin dark_urine loss_of_appetite abdominal_pain yellowing_of_eyes,HIGH,Hepatitis D,31
joint_pain vomiting fatigue yellowish_skin dark_urine nausea abdominal_pain yellowing_of_eyes,HIGH,Hepatitis D,32
joint_pain vomiting fatigue yellowish_skin dark_urine nausea loss_of_appetite yellowing_of_eyes,HIGH,Hepatitis D,32
joint_pain vomiting fatigue yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain,HIGH,Hepatitis D,32
joint_pain vomiting fatigue high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes coma stomach_bleeding,CRITICAL,Hepatitis E,56
joint_pain vomiting fatigue high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding,CRITICAL,Hepatitis E,62
joint_pain vomiting fatigue high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding,CRITICAL,Hepatitis E,62
vomiting fatigue high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding,CRITICAL,Hepatitis E,59
joint_pain fatigue high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding,CRITICAL,Hepatitis E,57
joint_pain vomiting high_fever yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding,CRITICAL,Hepatitis E,58
joint_pain vomiting fatigue yellowish_skin dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding,CRITICAL,Hepatitis E,55
joint_pain vomiting fatigue high_fever dark_urine nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding,CRITICAL,Hepatitis E,59
joint_pain vomiting fatigue high_fever yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding,CRITICAL,Hepatitis E,58
joint_pain vomiting fatigue high_fever yellowish_skin dark_urine loss_of_appetite abdominal_pain yellowing_of_eyes acute_liver_failure coma stomach_bleeding,CRITICAL,Hepatitis E,57
vomiting yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption fluid_overload,HIGH,Alcoholic hepatitis,32
vomiting yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption fluid_overload,HIGH,Alcoholic hepatitis,32
yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption fluid_overload,HIGH,Alcoholic hepatitis,27
vomiting abdominal_pain swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption fluid_overload,HIGH,Alcoholic hepatitis,29
vomiting yellowish_skin swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption fluid_overload,HIGH,Alcoholic hepatitis,28
vomiting yellowish_skin abdominal_pain distention_of_abdomen history_of_alcohol_consumption fluid_overload,HIGH,Alcoholic hepatitis,25
vomiting yellowish_skin abdominal_pain swelling_of_stomach history_of_alcohol_consumption fluid_overload,HIGH,Alcoholic hepatitis,28
vomiting yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen fluid_overload,HIGH,Alcoholic hepatitis,27
vomiting yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption,HIGH,Alcoholic hepatitis,28
vomiting yellowish_skin abdominal_pain swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption fluid_overload,HIGH,Alcoholic hepatitis,32
chills vomiting fatigue weight_loss cough high_fever breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum,CRITICAL,Tuberculosis,75
chills vomiting fatigue weight_loss cough high_fever breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum,CRITICAL,Tuberculosis,75
vomiting fatigue weight_loss cough high_fever breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum,CRITICAL,Tuberculosis,72
chills fatigue weight_loss cough high_fever breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum,CRITICAL,Tuberculosis,70
chills vomiting weight_loss cough high_fever breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum,CRITICAL,Tuberculosis,71
chills vomiting fatigue cough high_fever breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum,CRITICAL,Tuberculosis,72
chills vomiting fatigue weight_loss high_fever breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum,CRITICAL,Tuberculosis,71
chills vomiting fatigue weight_loss cough breathlessness sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum,CRITICAL,Tuberculosis,68
chills vomiting fatigue weight_loss cough high_fever sweating loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum,CRITICAL,Tuberculosis,71
chills vomiting fatigue weight_loss cough high_fever breathlessness loss_of_appetite mild_fever yellowing_of_eyes swelled_lymph_nodes malaise phlegm chest_pain blood_in_sputum,CRITICAL,Tuberculosis,72
continuous_sneezing chills fatigue cough high_fever headache swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain,CRITICAL,Common Cold,77
continuous_sneezing chills fatigue cough high_fever headache swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain,CRITICAL,Common Cold,77
chills fatigue cough high_fever headache swelled_lymph_nodes malaise phlegm throat_irritation redness_of_eyes sinus_pressure runny_nose congestion chest_pain loss_of_smell muscle_pain,CRITICAL,Common Cold,73
